dtcreate,Berkeley_Berkeley_LHJ,Berkeley_Berkeley_LHJ_Cumulativ,Berkeley_Berkeley_LHJ_Deaths,Berkeley_Berkeley_LHJ_Deaths_Cu,Alameda_County_LHJ,Alameda_County_LHJ_Cumulative,Alameda_County_LHJ_Deaths,Alameda_County_LHJ_Deaths__Cumu,Alameda_County,Alameda_County__Cumulative,Alameda_County_Deaths,Alameda_County_Deaths__Cumulati,GlobalID,OBJECTID
2020/08/18 08:00:00+00,5,482,0,7,191,15491,12,354,196,15973,12,361,8e8e55a6-04d2-4b47-aff6-d17c1e43a4a9,173
2020/08/19 08:00:00+00,2,484,0,7,228,15719,13,367,230,16203,13,374,a47840e6-c441-4c4e-a535-edcead783725,174
2020/08/20 08:00:00+00,10,494,0,7,257,15976,8,375,267,16470,8,382,6039cc71-b13a-415f-b55d-a9ebdaa4f6da,175
2020/08/21 08:00:00+00,5,499,0,7,205,16181,5,380,210,16680,5,387,472a5baa-829e-4114-bbb7-d0f0ba6ddf53,176
2020/08/22 08:00:00+00,6,505,0,7,332,16513,5,385,338,17018,5,392,930dff86-c84a-40b6-8427-f259b74a0bf7,177
2020/08/23 08:00:00+00,4,509,2,9,117,16630,2,387,121,17139,4,396,92a17d40-f780-43ab-af24-8a93c0d6c999,178
2020/08/24 08:00:00+00,4,513,0,9,150,16780,4,391,154,17293,4,400,99ed9bfc-a1b5-488e-89cc-b0a2956409e6,179
2020/08/25 08:00:00+00,3,516,0,9,135,16915,7,398,138,17431,7,407,0cb94302-ac14-4f68-847b-6d91a0421dbe,180
2020/08/26 08:00:00+00,4,520,0,9,201,17116,6,404,205,17636,6,413,0cab5b52-fb3f-40f7-b42f-72910725dc7d,181
2020/08/27 08:00:00+00,6,526,0,9,179,17295,4,408,185,17821,4,417,c39fc0ab-e21f-472b-8acc-d768889eca13,182
2020/08/28 08:00:00+00,8,534,0,9,199,17494,3,411,207,18028,3,420,026eb2fc-9e6b-4579-b11a-1413a06d21d6,183
2020/08/29 08:00:00+00,3,537,0,9,161,17655,1,412,164,18192,1,421,fe0e26e9-4af4-4013-8daf-0f69224fc905,184
2020/08/30 08:00:00+00,11,548,0,9,177,17832,5,417,188,18380,5,426,0875aa67-9f69-4741-a95b-8610f33c199b,185
2020/08/31 08:00:00+00,4,552,0,9,104,17936,4,421,108,18488,4,430,f0c90c11-b5ce-4152-8480-b22f62dc6bec,186
2020/09/01 08:00:00+00,2,554,0,9,140,18076,6,427,142,18630,6,436,c2a54a6a-6e35-49fa-ad67-45c66f518200,187
2020/09/02 08:00:00+00,9,563,0,9,151,18227,3,430,160,18790,3,439,38c56824-0b0f-4440-940a-c446411035ec,188
2020/09/03 08:00:00+00,4,567,0,9,122,18349,1,431,126,18916,1,440,127cac7b-aea6-40e4-af12-cbd47855d9a0,189
